Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
You'll Never Find Me,96,English,"Patrick, a strange and lonely resident, lives in a mobile home at the back of an isolated caravan park. After a violent thunderstorm erupts, a mysterious young woman appears at his door, seeking shelter from the weather. The longer the night wears on and the more the young woman discovers about Patrick, the more difficult she finds it to leave. Soon she begins to question Patrick’s intentions, while Patrick begins to question his own grip on reality...",2024,"Horror, Thriller",None,"Elena Carapetis, Brendan Rock, Angela Korng, Jordan Cowan, Finn Watson","Josiah Allen, Indianna Bell","AMC Plus Apple TV Channel , AMC+ Amazon Channel, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Someone Like U Productions, Stakeout Films"
Heart of the Hunter,108,English,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.,2024,"Action, Mystery, Thriller",based on novel or book,"Tim Theron, Masasa Mbangeni, Connie Ferguson, Peter Butler, Bonko Khoza",Mandla Dube,"Netflix, Netflix basic with Ads ",,,Scene23
Godzilla x Kong: The New Empire,115,English,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024,"Action, Science Fiction, Adventure","giant monster, sequel, dinosaur, kaiju, fantasy world, giant ape, godzilla, monsterverse, king kong","Kaylee Hottle, Dan Stevens, Rebecca Hall, Alex Ferns, Brian Tyree Henry",Adam Wingard,,,,Legendary Pictures
Air Force One Down,84,English,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",2024,"Action, Thriller","usa president, air force one, rookie, u.s. secret service agent, provocative, intense, excited, powerful","Dascha Polanco, Ian Bohen, Katherine McNamara, Paul S. Tracey, Rade Šerbedžija",James Bamford,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","SP Media Group, Steven Paul Production"
Cold Meat,89,English,"David Petersen is passing through the Colorado Rockies. After saving a young diner waitress from her violent ex-husband during a break from driving, he hits the road again alone through a dangerous snow blizzard. One false move behind the wheel has him waking up inside a ravine, in the eye of the storm. But the cold is the least of his worries when a beast starts prowling outside. How will he survive?",2024,"Thriller, Horror",None,"James Barton-Steel, Riley Banzer, Nina Bergman, Yan Tual, Allen Leech",Sébastien Drouin,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Redbox, Spectrum On Demand ","Featuristic Films, Trilight Entertainment"
Code 8 Part II,101,English,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",2024,"Science Fiction, Action, Crime","superhero, suspenseful","Aaron Abrams, Stephen Amell, Sirena Gulamgaus, Robbie Amell, Alex Mallari Jr.",Jeff Chan,"Netflix, Netflix basic with Ads ",,,"XYZ Films, Collective Pictures"
Love Lies Bleeding,104,English,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",2024,"Crime, Romance, Thriller","homicide, blackmail, new mexico, eroticism, bisexuality, american dream, addiction, bodybuilder, steroids, murder, dirty cop, female protagonist, las vegas, brutality, crime family, gym, lgbt, estranged father, fitness, woman director, albuquerque, new mexico, neo-noir, female bodybuilder, 1980s, abusive husband, shooting range, father daughter relationship, lesbian, federal bureau of investigation, body horror","Kristen Stewart, Ed Harris, Jena Malone, Dave Franco, Katy O'Brian",Rose Glass,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Film4 Productions, Escape Plan, A24, Lobo Films"
Lift,107,English,"An international heist crew, led by Cyrus Whitaker, race to lift $500 million in gold from a passenger plane at 40,000 feet.",2024,"Action, Comedy, Crime","gold, gang of thieves, heist, airplane hijacking, caper comedy, terrorist group, cyber terrorism, international manhunt, plane, art heist, gold heist","Gugu Mbatha-Raw, Sam Worthington, Úrsula Corberó, Kevin Hart, Vincent D'Onofrio",F. Gary Gray,"Netflix, Netflix basic with Ads ",,,"Genre Films, 6th & Idaho, HartBeat Productions"
The Wages of Fear,107,French,"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",2024,"Action, Thriller","based on novel or book, nitroglycerin, remake","Astrid Whettnall, Ana Girardot, Sofiane Zermani, Alban Lenoir, Franck Gastambide",Julien Leclercq,"Netflix, Netflix basic with Ads ",,,"TF1 Studio, Labyrinthe Films, uMedia"
The Roommate,99,Spanish,"Vivi is a young writer who is forced to find a roommate to pay the mortgage on her apartment. What she does not suspect is that Roy, the supposed perfect partner she found, has a peculiar lifestyle: he never pays rent.",2024,Comedy,None,"José Eduardo Derbez, Fiona Palomo, Giuseppe Gamba, Bárbara de Regil, Maite Perroni",Pedro Pablo Ibarra,VIX  ,,,Videocine
